,Mã trạm,Chỉ số AQI,Tên trạm,Url,Chất ô nhiễm chủ đạo,CO,Sương,Độ ẩm,NO2,O3,Áp suất,Bụi PM10,Bụi PM2.5,SO2,Nhiệt độ,Tốc độ gió,Thời gian cập nhật,Múi giờ,Latitude,Longitude
1859,13017,89.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,8.00,21.5,56.5,12.00,-,"1,009.50",53.00,89.00,-,31.0,2.3,2021-09-23 14:00:00,+07:00,21.02022,105.81232
1860,13020,22.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,3.00,21.5,56.5,8.00,-,"1,009.50",15.00,22.00,-,31.0,2.3,2021-09-23 14:00:00,+07:00,21.00577,105.74842
1861,13013,91.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,4.00,21.5,56.5,15.00,-,"1,009.50",71.00,91.00,-,31.0,2.3,2021-09-23 14:00:00,+07:00,21.05121,105.78232
1862,13014,29.0,"Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,4.00,21.5,56.5,-,-,"1,009.50",19.00,29.00,-,31.0,2.3,2021-09-23 14:00:00,+07:00,21.0072,105.83572
1863,13252,113.0,"Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,23.0,57.1,-,1.00,983.60,113.00,57.00,1.00,32.6,1.0,2021-09-23 16:00:00,+07:00,22.6782,106.245
1864,8767,53.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,25.0,74.0,-,-,"1,008.00",-,53.00,-,30.0,2.0,2021-09-30 13:00:00,+07:00,10.782978,106.700711
1865,8688,52.0,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,28.0,89.0,-,-,"1,008.00",-,52.00,-,30.0,4.1,2021-08-17 22:00:00,+07:00,21.0811211,105.8180306
1866,8641,93.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,22.0,52.0,9.20,34.60,"1,008.00",-,93.00,5.60,33.0,1.0,2021-09-30 13:00:00,+07:00,21.0215063,105.8188748
1867,13012,14.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,2.00,19.7,64.0,3.00,10.00,925.50,12.00,14.00,15.00,27.1,1.0,2021-09-30 13:00:00,+07:00,13.998599,107.996482
1868,12976,67.0,"Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,22.0,52.0,12.00,8.00,"1,000.00",53.00,67.00,9.00,33.0,3.0,2021-06-28 22:00:00,+07:00,21.1137452,105.9268934
1869,12958,63.0,"Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,1.00,22.0,52.0,2.00,34.00,"1,008.00",52.00,63.00,8.00,33.0,1.0,2021-09-30 13:00:00,+07:00,21.1232473,106.2883295
1870,13015,91.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29.00,22.0,74.0,37.00,-,"1,011.00",65.00,91.00,-,27.0,2.8,2021-04-27 15:00:00,+07:00,21.03982,105.84726
1871,13018,65.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,2.00,23.0,55.0,7.00,-,"1,009.00",47.00,65.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,20.98832,105.854897
1872,13019,78.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,8.00,23.0,55.0,29.00,-,"1,009.00",52.00,78.00,-,33.0,1.0,2021-09-30 11:00:00,+07:00,21.01994,105.77056
1873,13026,89.0,"Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6.00,22.0,52.0,11.00,-,"1,008.00",63.00,89.00,-,33.0,1.0,2021-09-30 12:00:00,+07:00,21.01525,105.80013
1874,1584,44.0,"Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,1.00,23.0,55.0,10.00,30.00,"1,008.00",32.00,44.00,39.00,33.0,3.6,2021-09-30 13:00:00,+07:00,16.074,108.217
